                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.427,                 2.6448,                 1.5823,                0.43321,                0.32866,                0.29315,                0.15726,                 1.4409,                 7.6443,                 1.5828,             0.00041111,             0.00041111,             0.00041111
                      2,                 1.4471,                 1.7956,                 1.5828,                0.46279,                0.53877,                0.48726,                0.26739,                 1.5051,                 3.2575,                  1.891,             0.00081288,             0.00081288,             0.00081288
                      3,                 1.4349,                 1.6752,                 1.5678,                0.21648,                0.28468,                0.10961,                0.05519,                 2.0247,                 5.5808,                  2.288,              0.0011996,              0.0011996,              0.0011996
                      4,                 1.4406,                 1.6647,                 1.5765,                0.59161,                0.41955,                 0.4724,                0.30018,                 1.4989,                  2.008,                 1.7495,              0.0011825,              0.0011825,              0.0011825
                      5,                 1.4002,                 1.5535,                 1.5283,                0.74628,                0.57152,                0.66291,                0.40663,                 1.2693,                 1.7366,                 1.5471,                0.00116,                0.00116,                0.00116
                      6,                 1.3486,                 1.4246,                 1.4995,                0.78814,                0.66592,                0.74658,                0.51197,                  1.296,                 1.2108,                 1.4724,              0.0011375,              0.0011375,              0.0011375
                      7,                 1.2912,                 1.2978,                 1.4641,                0.76823,                0.76651,                 0.8378,                0.56718,                 1.1885,                0.88834,                 1.3933,               0.001115,               0.001115,               0.001115
                      8,                 1.2717,                  1.231,                 1.4399,                0.80894,                0.70595,                0.78917,                0.46059,                 1.2914,                0.97344,                 1.4676,              0.0010925,              0.0010925,              0.0010925
                      9,                 1.2386,                 1.1808,                 1.4018,                0.90773,                0.82695,                0.91502,                0.68143,                0.98535,                0.69469,                 1.2024,                0.00107,                0.00107,                0.00107
                     10,                 1.1862,                 1.1103,                 1.3691,                 0.8549,                0.77895,                0.86527,                0.65615,                0.99666,                0.75102,                 1.1995,              0.0010475,              0.0010475,              0.0010475
                     11,                 1.1699,                 1.0758,                 1.3655,                0.91959,                0.82752,                0.92428,                0.68458,                 1.0223,                0.65394,                 1.2494,               0.001025,               0.001025,               0.001025
                     12,                 1.1634,                 1.0203,                 1.3505,                0.93153,                0.86655,                0.94532,                0.71708,                0.96246,                0.55399,                 1.1761,              0.0010025,              0.0010025,              0.0010025
                     13,                 1.1341,                0.99856,                 1.3163,                0.89273,                0.84928,                0.94548,                0.68035,                 1.0532,                0.62194,                 1.2364,                0.00098,                0.00098,                0.00098
                     14,                  1.124,                0.97941,                   1.31,                0.86395,                0.86574,                0.92957,                0.69667,                0.99793,                0.65061,                 1.2366,              0.0009575,              0.0009575,              0.0009575
                     15,                  1.097,                0.94851,                 1.3023,                0.89148,                0.90554,                0.94637,                0.72746,                0.91281,                0.55403,                 1.1565,               0.000935,               0.000935,               0.000935
                     16,                 1.0939,                0.89947,                 1.2891,                0.88213,                0.89221,                0.93561,                0.66896,                  1.081,                0.62246,                 1.2931,              0.0009125,              0.0009125,              0.0009125
                     17,                 1.0687,                0.89784,                 1.2861,                0.89998,                0.92182,                 0.9445,                0.72587,                0.92891,                0.54113,                 1.1826,                0.00089,                0.00089,                0.00089
                     18,                 1.0364,                0.86114,                 1.2644,                0.90549,                0.89605,                0.93568,                0.69857,                 1.0161,                0.58678,                 1.2258,              0.0008675,              0.0008675,              0.0008675
                     19,                 1.0388,                0.82131,                 1.2606,                0.92578,                 0.8395,                 0.9431,                0.67659,                 1.1293,                0.61683,                 1.3316,               0.000845,               0.000845,               0.000845
                     20,                 1.0218,                 0.8264,                 1.2493,                0.87895,                0.92191,                0.94865,                0.69396,                 0.9748,                0.54154,                 1.2028,              0.0008225,              0.0008225,              0.0008225
                     21,                 1.0246,                0.79093,                 1.2662,                 0.9282,                0.91112,                0.95788,                0.72932,                0.93766,                0.49686,                 1.1875,                 0.0008,                 0.0008,                 0.0008
                     22,                 1.0065,                0.78233,                 1.2379,                0.94032,                0.86213,                0.95326,                0.73677,                 0.9671,                0.52382,                  1.171,              0.0007775,              0.0007775,              0.0007775
                     23,                 0.9889,                0.76218,                 1.2175,                0.94429,                0.91177,                0.95931,                0.73446,                0.95207,                0.49234,                  1.177,               0.000755,               0.000755,               0.000755
                     24,                0.98339,                0.75662,                 1.2181,                0.95601,                0.90042,                0.96058,                0.70638,                 1.0078,                0.49537,                 1.2039,              0.0007325,              0.0007325,              0.0007325
                     25,                0.98332,                 0.7357,                 1.2161,                0.91701,                0.91712,                 0.9483,                0.70025,                 1.0237,                0.50983,                 1.2576,                0.00071,                0.00071,                0.00071
                     26,                 0.9589,                0.72193,                 1.2033,                0.96441,                0.90875,                0.96108,                0.74401,                0.92601,                0.48255,                 1.1608,              0.0006875,              0.0006875,              0.0006875
                     27,                0.95313,                0.74205,                 1.2021,                 0.9541,                0.87729,                0.95322,                 0.7215,                0.92953,                0.49883,                 1.1674,               0.000665,               0.000665,               0.000665
                     28,                0.93458,                0.68371,                 1.1968,                0.87659,                0.90577,                0.94672,                0.73511,                0.86108,                 0.5072,                 1.1193,              0.0006425,              0.0006425,              0.0006425
                     29,                0.92636,                0.68304,                  1.179,                0.96069,                0.91211,                0.96324,                0.72754,                0.99036,                0.46789,                 1.2398,                0.00062,                0.00062,                0.00062
                     30,                 0.9177,                0.65838,                 1.1713,                0.96423,                0.94043,                0.96889,                0.75623,                0.88602,                0.42856,                 1.1253,              0.0005975,              0.0005975,              0.0005975
                     31,                0.90226,                0.62317,                 1.1629,                0.93805,                0.92825,                0.95708,                 0.7251,                0.93502,                0.46097,                 1.2043,               0.000575,               0.000575,               0.000575
